Time,CPU 1,CPU 2,CPU 3,CPU 4,CPU 5,CPU 6,CPU 7,CPU 8,Overall CPU Utilization,RAM Usage,GPU Utilization,GPU Memory Utilization
1,10.01012157,23.97406822,28.6287171,48.79886227,23.97406822,8.458571937,17.76786971,10.01012157,21.45280007,21.22270552,0,0
2,15.23796809,15.23796809,23.08630437,21.51663712,1.110962767,0,1.110962767,1.110962767,9.801470746,21.10454769,0,0
3,14.66337226,17.76652236,30.17912276,36.38542296,19.31809741,5.353921965,20.86967246,13.11179721,19.70599117,21.42614301,0,0
4,20.77722586,12.85494845,3.348215553,9.686037484,27.11504779,17.6083149,9.686037484,0,12.63447844,21.83601061,0,0
5,2.880527781,12.13000133,15.21315917,0,1.338948857,1.338948857,9.046843478,9.046843478,6.374409119,21.87583086,0,0
6,15.25138573,19.95964208,1.12661669,21.52906086,1.12661669,4.265454255,1.12661669,1.12661669,8.189001211,21.97833339,0,0
7,1.721023988,9.520942719,7.960958973,1.721023988,26.68076393,29.80073142,17.32086145,18.8808452,14.20089396,22.50988076,0,0
8,11.08829425,20.44742117,40.7255295,9.528439766,18.88756669,22.00727566,25.12698463,26.68683912,21.81229385,23.33214035,0,0
9,40.73039321,48.52902569,56.32765816,36.05121373,37.61094023,45.4095727,43.8498462,37.61094023,43.26494877,23.76240667,0,0
10,96.82941234,100,98.41470617,100,96.82941234,100,98.41470617,100,98.81102963,23.86144834,0,0
11,21.6366525,27.7827974,18.56358005,13.95397137,29.31933363,26.24626118,32.39240608,32.39240608,25.28592604,23.52041113,0,0
12,8.589288369,18.04556888,7.013241617,32.22998965,16.46952213,14.89347538,24.34975589,2.28510136,15.48449291,24.05407573,0,0
13,6.034358249,0,2.90217019,1.336076161,24.8274866,13.86482839,12.29873437,54.58327315,14.48086589,24.13153792,0,0
14,20.36965866,18.80827942,14.12414169,6.317245481,11.00138321,21.9310379,1.633107755,31.29931335,15.68552093,23.88266138,0,0
15,22.0177076,59.44920795,17.33877005,7.980894962,3.301957418,4.861603266,0.182665722,1.74231157,14.60938982,23.90833281,0,0
16,21.21351656,21.21351656,2.304760539,10.18340888,0,14.91059789,18.06205723,21.21351656,13.63767178,23.90819031,0,0
17,2.342752113,0.792637068,14.74367248,19.39401762,14.74367248,30.24482294,14.74367248,19.39401762,14.5499081,23.90816995,0,0
18,13.31021471,19.61492637,19.61492637,0,18.03874846,0.700791398,19.61492637,10.15785888,12.63154907,23.90802744,0,0
19,13.5764144,13.5764144,12.03313609,12.03313609,1.230187887,35.1823108,25.92264092,7.403301144,15.11969272,23.90802744,0,0
20,10.18599025,0,8.610305873,22.79146531,19.64009654,13.33735902,19.64009654,8.610305873,12.85195243,23.90802744,0,0
21,19.98529587,5.865053965,21.55421164,13.7096328,30.96770624,24.69204317,4.296138198,19.98529587,17.63192222,23.90424086,0,0
22,12.02747953,10.48410198,2.767214216,24.37449995,27.46125505,7.397346872,13.57085708,12.02747953,13.76377928,23.90424086,0,0
23,25.94430528,8.612121406,30.67126451,19.64169296,0.73385601,11.76342756,10.18777449,0,13.44430528,23.90259186,0,0
24,32.55984219,1.192326934,48.24359982,29.42309067,5.897454222,4.32907846,2.760702697,2.760702697,15.89584971,23.95236717,0,0
25,8.893154734,13.52570619,25.87917673,28.96754437,22.7908091,2.716419462,10.43733855,11.98152237,15.64895894,23.90259186,0,0
26,21.22807771,10.20000859,11.77544704,22.80351616,24.3789546,35.40702372,24.3789546,18.07720082,21.03114791,23.91305587,0,0
27,13.72733068,23.13889461,13.72733068,24.70748859,1.178578779,2.747172766,13.72733068,21.57030062,14.31555343,23.91305587,0,0
28,18.18776906,0,19.73139606,33.62403905,7.382380068,16.64414206,4.295126071,5.838753069,13.21295068,23.90745742,0,0
29,10.13776203,0.678579082,2.255109573,27.47959743,2.255109573,24.32653644,29.05612792,13.29082301,13.68495563,23.90745742,0,0
30,16.9091373,9.070376669,2.799368163,10.6381288,4.36712029,9.070376669,4.36712029,46.6964277,12.98975699,23.90745742,0,0
31,1.207637835,33.62388167,35.16751233,15.10031376,16.64394442,2.751268494,21.2748364,2.751268494,16.06508293,23.90753885,0,0
32,2.211568036,13.25219745,14.82943022,19.56112855,3.788800809,27.44729241,8.52049913,8.52049913,12.26642697,23.90293794,0,0
33,24.74237811,18.47090962,32.58171372,10.631574,1.224371268,12.19944113,5.927972636,2.79223839,13.57132486,23.91012432,0,0
34,45.83556058,0,28.81245104,21.07467398,8.694230684,0.956453623,2.504009035,0.956453623,13.60422907,23.90931,0,0
35,30.70768369,21.25873146,13.38460461,0,19.68390609,2.360827013,7.085303125,19.68390609,14.27062026,23.9616097,0,0
36,13.63650047,49.10722349,16.72091117,27.51634861,1.298857682,2.841063031,4.38326838,0,14.4380216,23.9616097,0,0
37,16.40686551,25.87023923,13.25240761,21.13855237,17.98409447,10.0979497,14.82963656,0.634575988,15.02679018,23.91183439,0,0
38,12.21527023,2.809763468,1.242179008,9.080101309,5.944932388,15.35043915,24.75594591,43.56695943,14.37069886,23.90259186,0,0
39,3.623478644,0,14.5046988,0,28.49483899,36.2671391,6.732398688,19.16807886,13.59882914,23.90259186,0,0
40,12.81704083,12.81704083,15.93071794,39.28329629,1.919170935,9.703363718,6.589686605,14.37387939,14.17927457,23.90106501,0,0
41,10.1044469,10.1044469,6.950216966,3.795987032,10.1044469,29.0298265,11.68156187,22.72136663,13.06153746,23.8964641,0,0
42,22.8541734,10.51084115,13.59667421,8.967924617,16.68250728,0,8.967924617,25.94000647,13.44000647,23.90049498,0,0
43,2.206197891,0.628878502,3.78351728,0.628878502,36.90722445,52.68041833,0,8.515475446,13.1688238,23.90033212,0,0
44,0.576408273,2.129901894,2.129901894,3.683395515,33.19977431,33.19977431,6.790382756,31.64628069,14.16947746,23.89876455,0,0
45,1.43002195,6.123830428,46.80350391,9.25303608,9.25303608,0,2.994624776,31.15747565,13.37694111,23.89876455,0,0
46,5.840254451,24.67220356,30.94951993,13.68689991,10.54824173,15.25622901,4.270925359,10.54824173,14.47156446,23.90623594,0,0
47,26.29242069,32.56540616,30.99715979,20.01943521,1.200478794,0,1.200478794,1.200478794,14.18448228,23.95601125,0,0
