Time,CPU 1,CPU 2,CPU 3,CPU 4,CPU 5,CPU 6,CPU 7,CPU 8,Overall CPU Utilization,RAM Usage,GPU Utilization,GPU Memory Utilization
1,14.34037111,1.650055721,3.236345144,7.995213416,4.822634568,4.822634568,7.995213416,0.063766297,5.61577928,20.58311825,0,0
2,7.022057318,0,16.47744132,0.718467984,3.870262651,0,0,0.718467984,3.600837157,20.53464585,0,0
3,0.420355553,5.088151387,1.976287498,1.976287498,0.420355553,0.420355553,0.420355553,0.420355553,1.392813019,20.56153877,0,0
4,11.26704532,0,0.370015798,3.483452805,0.370015798,0.370015798,0.370015798,0.370015798,2.075072139,20.55186872,0,0
5,7.816980095,6.254556029,6.254556029,0.004859764,1.56728383,1.56728383,1.56728383,4.692131962,3.715616921,20.383732,0,0
6,12.48388828,0,0,0,0,3.107162029,1.544374319,0,2.141928079,20.33261307,0,0
7,0,0,0,1.009091325,0,2.58037559,0,1.009091325,0.57481978,20.38096332,0,0
8,2.234928164,0.683101627,2.234928164,0.683101627,0.683101627,0.683101627,2.234928164,0.683101627,1.265036578,20.36070711,0,0
9,3.216122021,0.094061441,0.094061441,1.655091731,3.216122021,3.216122021,1.655091731,0.094061441,1.655091731,20.35510866,0,0
10,1.136814898,0,5.844585617,0,0,4.27532871,0,1.136814898,1.549193015,20.35889524,0,0
11,1.29488081,1.29488081,2.861628734,5.995124581,2.861628734,10.69536835,4.428376658,1.29488081,3.840846186,20.58932744,0,0
12,3.54688775,0.484884187,0.484884187,0,0.484884187,0.484884187,0.484884187,0.484884187,0.807024109,20.58932744,0,0
13,3.171603031,4.758953801,7.933655341,4.758953801,9.521006111,1.584252261,3.171603031,3.171603031,4.758953801,20.6642856,0,0
14,3.377465022,0.260609055,0.260609055,0,15.84488889,1.819037038,8.052748972,0.260609055,3.734495886,20.62926984,0,0
15,3.257276326,4.817642837,3.257276326,0.136543304,15.74020841,1.696909815,4.817642837,7.938375859,5.207734464,20.66536457,0,0
16,10.49891785,1.077751305,2.647945728,1.077751305,8.928723423,4.218140152,12.06911227,1.077751305,5.199511667,20.6743628,0,0
17,19.75218569,2.443833579,4.017320134,0.870347024,7.164293245,4.017320134,13.45823947,4.017320134,6.967607426,20.78586357,0,0
18,5.240912026,0,0.58062901,0,5.240912026,0.58062901,3.687484354,0.58062901,1.98889943,20.74514757,0,0
19,0,0,4.047772571,0,14.88108857,0,2.500156,0.952539428,2.797694571,20.73769654,0,0
20,7.42581764,1.149601887,4.287709764,2.718655825,16.84014127,1.149601887,4.287709764,2.718655825,5.072236733,20.55624569,0,0
21,6.660674365,5.105018938,8.216329792,0.438052656,23.77288406,1.993708083,1.993708083,9.771985219,7.24404515,20.61190446,0,0
22,9.223230319,6.092996881,1.397646726,2.962763444,21.74416407,2.962763444,2.962763444,2.962763444,6.288636472,20.61736041,0,0
23,5.651756659,0,4.079285936,0,18.23152244,0,4.079285936,2.506815214,4.318583273,20.61776757,0,0
24,3.154576592,3.154576592,1.592553634,3.154576592,21.89885209,1.592553634,10.96469138,1.592553634,5.888116769,20.61776757,0,0
25,1.56118092,6.248743733,3.123701858,1.56118092,17.1863903,1.56118092,0,4.686222795,4.491075181,20.62782442,0,0
26,3.462331575,0,1.905272407,0.348213238,17.47586409,0.348213238,3.462331575,0,3.375278265,20.61742148,0,0
