Time,gpuutil,gpumem,ram,cpu,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8
1,0,0,20.58311825,5.61577928,14.34037111,1.650055721,3.236345144,7.995213416,4.822634568,4.822634568,7.995213416,0.063766297
2,0,0,20.53464585,3.600837157,7.022057318,0,16.47744132,0.718467984,3.870262651,0,0,0.718467984
3,0,0,20.56153877,1.392813019,0.420355553,5.088151387,1.976287498,1.976287498,0.420355553,0.420355553,0.420355553,0.420355553
4,0,0,20.55186872,2.075072139,11.26704532,0,0.370015798,3.483452805,0.370015798,0.370015798,0.370015798,0.370015798
5,0,0,20.383732,3.715616921,7.816980095,6.254556029,6.254556029,0.004859764,1.56728383,1.56728383,1.56728383,4.692131962
6,0,0,20.33261307,2.141928079,12.48388828,0,0,0,0,3.107162029,1.544374319,1
7,0,0,20.38096332,0.57481978,0,0,0,1.009091325,0,2.58037559,0,1.009091325
8,0,0,20.36070711,1.265036578,2.234928164,0.683101627,2.234928164,0.683101627,0.683101627,0.683101627,2.234928164,0.683101627
9,0,0,20.35510866,1.655091731,3.216122021,0.094061441,0.094061441,1.655091731,3.216122021,3.216122021,1.655091731,0.094061441
10,0,0,20.35889524,1.549193015,1.136814898,0,5.844585617,0,0,4.27532871,0,1.136814898
11,0,0,20.58932744,3.840846186,1.29488081,1.29488081,2.861628734,5.995124581,2.861628734,10.69536835,4.428376658,1.29488081
12,0,0,20.58932744,0.807024109,3.54688775,0.484884187,0.484884187,0,0.484884187,0.484884187,0.484884187,0.484884187
13,0,0,20.6642856,4.758953801,3.171603031,4.758953801,7.933655341,4.758953801,9.521006111,1.584252261,3.171603031,3.171603031
14,0,0,20.62926984,3.734495886,3.377465022,0.260609055,0.260609055,0,15.84488889,1.819037038,8.052748972,0.260609055
15,0,0,20.66536457,5.207734464,3.257276326,4.817642837,3.257276326,0.136543304,15.74020841,1.696909815,4.817642837,7.938375859
16,0,0,20.6743628,5.199511667,10.49891785,1.077751305,2.647945728,1.077751305,8.928723423,4.218140152,12.06911227,1.077751305
17,0,0,20.78586357,6.967607426,19.75218569,2.443833579,4.017320134,0.870347024,7.164293245,4.017320134,13.45823947,4.017320134
18,0,0,20.74514757,1.98889943,5.240912026,0,0.58062901,0,5.240912026,0.58062901,3.687484354,0.58062901
19,0,0,20.73769654,2.797694571,0,0,4.047772571,0,14.88108857,0,2.500156,0.952539428
20,0,0,20.55624569,5.072236733,7.42581764,1.149601887,4.287709764,2.718655825,16.84014127,1.149601887,4.287709764,2.718655825
21,0,0,20.61190446,7.24404515,6.660674365,5.105018938,8.216329792,0.438052656,23.77288406,1.993708083,1.993708083,9.771985219
22,0,0,20.61736041,6.288636472,9.223230319,6.092996881,1.397646726,2.962763444,21.74416407,2.962763444,2.962763444,2.962763444
23,0,0,20.61776757,4.318583273,5.651756659,0,4.079285936,0,18.23152244,0,4.079285936,2.506815214
24,0,0,20.61776757,5.888116769,3.154576592,3.154576592,1.592553634,3.154576592,21.89885209,1.592553634,10.96469138,1.592553634
25,0,0,20.62782442,4.491075181,1.56118092,6.248743733,3.123701858,1.56118092,17.1863903,1.56118092,0,4.686222795
26,0,0,20.61742148,3.375278265,3.462331575,0,1.905272407,0.348213238,17.47586409,0.348213238,3.462331575,1
27,0,0,20.62988058,4.697235185,3.673559812,2.11990755,12.99547338,0,14.54912564,0,2.11990755,2.11990755
28,0,0,20.41231464,3.980727127,2.107642958,0.553796021,2.107642958,2.107642958,12.98457152,0,5.215336832,6.769183769
29,0,0,20.47509871,6.836448536,0.309065948,8.221044841,0.309065948,14.55062796,14.55062796,1.891461727,1.891461727,12.96823218
30,0,0,20.61280021,9.649333193,9.454191364,4.770787469,17.25986452,3.209652838,14.13759526,9.454191364,14.13759526,4.770787469
31,0,0,20.60522704,0.081115893,0,0,0,0,0,0,0,0.648927145
32,0,0,20.59026391,1.315061301,0.733421191,2.284461485,0.733421191,2.284461485,0.733421191,2.284461485,0.733421191,0.733421191
33,0,0,20.59026391,0.467671198,0.623561597,0.623561597,0,0.623561597,0.623561597,0,0.623561597,0.623561597
34,0,0,20.59014176,1.090811016,1.197115509,1.197115509,1.197115509,0,1.197115509,2.740910579,1.197115509,1
35,0,0,20.59014176,0.539778539,0,0.60608422,0,0,0,0,0,3.712144088
36,0,0,20.57192135,2.19619646,2.139060824,0,0.560658579,3.717463069,2.139060824,6.874267558,2.139060824,1
37,0,0,20.4665687,0.376648632,1.506594527,0,1.506594527,0,0,0,0,1
38,0,0,20.4665687,0.426732162,0.034334874,0,0.034334874,0.034334874,0.034334874,1.621091463,0.034334874,1.621091463
39,0,0,20.4665687,13.08119436,27.43273734,47.94087679,14.81234384,0.614401141,0,11.65724546,2.191950329,1
40,0,0,20.46591725,0.539147423,0.929673505,0,0.929673505,0,2.453832374,0,0,1
41,0,0,20.55758932,2.002852759,3.195805444,0.021897426,1.608851435,0,4.782759454,1.608851435,1.608851435,3.195805444
42,0,0,20.47312398,3.007613322,3.590733883,2.03574572,2.03574572,0.480757556,5.145722046,3.590733883,3.590733883,3.590733883
43,0,0,20.55166514,5.606581424,8.252959194,0,2.032820834,3.587855424,25.35833968,0,5.142890014,0.477786244
44,0,0,20.55026044,5.005810593,7.731617536,4.603875757,3.040004868,0,17.11484287,1.476133979,3.040004868,3.040004868
45,0,0,20.54950719,8.847848091,4.339247029,2.771037964,1.202828899,12.18029235,24.72596488,1.202828899,10.61208329,13.74850142
46,0,0,20.66345092,3.908367471,3.790762561,0,2.213561947,2.213561947,16.40836747,2.213561947,2.213561947,2.213561947
47,0,0,20.67385385,2.135321536,2.135321536,0.581913941,5.242136725,3.688729131,2.135321536,0.581913941,2.135321536,0.581913941
48,0,0,20.6505643,0.431133508,2.184771141,0,0,0,0,0.632148461,0,0.632148461
49,0,0,20.59091536,2.85001263,4.800815589,0.118888487,1.679530854,1.679530854,0.118888487,1.679530854,0.118888487,12.60402743
50,0,0,20.59091536,1.619480105,0.633703352,0.633703352,2.210946156,0.633703352,2.210946156,0.633703352,3.78818896,2.210946156
51,0,0,20.59091536,1.170955064,0,3.123546853,1.561023415,0,1.561023415,1.561023415,0,1.561023415
52,0,0,20.58786166,3.907789496,5.132561103,0.466949354,12.90858068,0.466949354,0,3.577357186,6.687765019,2.02215327
53,0,0,20.46390181,0.462411255,1.752922486,1.752922486,0,0,0,0,0,0.193445065
54,0,0,20.47554658,4.088451334,4.898946889,0,3.313929337,3.313929337,11.2390171,0.143894233,6.483964441,3.313929337
55,0,0,20.47371436,5.353021957,10.10330705,2.353592138,2.353592138,0,14.75313599,2.353592138,8.553364066,2.353592138
56,0,0,20.47371436,1.406762536,1.875683381,1.875683381,0,1.875683381,0,3.433212217,0.318154546,1.875683381
57,0,0,20.45415032,0.6388739,1.180810882,0,0,0,0,1.180810882,2.749369439,1
58,0,0,20.4586698,0.494602332,2.154037551,0.600927036,0,0.600927036,0,0,0.600927036,1
59,0,0,20.45408925,2.231517277,1.674757929,0,1.674757929,3.235476057,1.674757929,0,6.356912313,3.235476057
60,0,0,20.44956977,0.589740777,1.179481553,1.179481553,0,0,0,1.179481553,0,1.179481553
61,0,0,20.44908118,0.564617771,0.350725586,0.350725586,0.350725586,0,0,3.464765412,0,1
62,0,0,20.44908118,1.823139928,0.26477707,0.26477707,3.381502786,3.381502786,1.823139928,3.381502786,1.823139928,0.26477707
