Time,gpuutil,gpumem,ram,cpu,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8
1,0,0,20.43829144,23.64799277,20.67323924,27.0193801,55.57701397,11.15402795,27.0193801,12.74056316,11.15402795,23.84630967
2,0,0,20.4369071,67.09653508,85.89851503,59.26237677,62.39604009,71.79703007,52.99505012,67.09653508,70.23019841,67.09653508
3,0,0,20.42796994,67.78632741,86.1114705,55.24807161,70.67977105,66.05026122,64.50709127,59.87758144,62.96392133,76.85245083
4,0,0,20.4766052,10.54416985,17.36542051,6.451419449,14.24713449,9.569705467,1.773990421,14.24713449,11.12884848,9.569705467
5,0,0,20.4782542,6.230872667,2.699817663,2.699817663,8.977248782,5.838533222,18.39339546,4.269175443,2.699817663,4.269175443
6,0,0,20.44038832,4.143716557,13.70173008,0,4.287373364,2.718313911,4.287373364,2.718313911,4.287373364,1.149254458
7,0,0,20.43362946,3.959896268,0,1.09333624,10.5130185,4.233230328,1.09333624,12.08296555,2.663283284,0
8,0,0,20.43362946,3.586292014,4.520850693,0,2.955618737,2.955618737,9.21654656,6.086082649,2.955618737,0
9,0,0,20.43362946,5.604235681,7.341581036,2.708660088,4.252967071,4.252967071,10.430195,5.797274054,8.885888019,1.164353105
10,0,0,20.41968423,3.764420891,9.85311205,2.081828606,2.081828606,3.636085294,3.636085294,5.190341983,0,3.636085294
11,0,0,20.30563872,1.685581982,9.191858139,0,1.363570048,2.929227666,0,0,0,0
12,0,0,20.35398897,1.748137703,3.332845159,0.163430246,1.748137703,1.748137703,1.748137703,3.332845159,0.163430246,1.748137703
13,0,0,20.35380574,6.118550453,6.894430201,2.239151711,8.446189698,3.790911208,9.997949195,9.997949195,6.894430201,0.687392215
14,0,0,20.35380574,3.928412129,5.500381778,0,7.075375415,0,10.22536269,3.925388141,2.350394504,2.350394504
15,0,0,20.35569904,4.552773651,1.074939492,1.074939492,5.712051704,4.166347633,8.803459845,4.166347633,2.620643563,8.803459845
16,0,0,20.35563796,2.235401978,0.329967609,0,3.444656121,0.329967609,3.444656121,5.002000378,5.002000378,0.329967609
17,0,0,20.35563796,6.196408558,11.8052831,0.974352952,4.068904422,4.068904422,5.616180157,19.54166177,2.521628687,0.974352952
18,0,0,20.35563796,1.473410548,3.73587133,0,2.15777086,2.15777086,3.73587133,0,0,0
19,0,0,20.30728772,2.235381231,12.75189401,0.287878865,3.40388265,0.287878865,0.287878865,0.287878865,0.287878865,0.287878865
20,0,0,20.3540704,2.68385417,0.713891704,0.713891704,3.86583165,3.86583165,7.017771596,0.713891704,2.289861677,2.289861677
21,0,0,20.3540704,7.209111575,17.34593132,1.750824021,11.1078884,1.750824021,9.54837767,3.31033475,7.98886694,4.86984548
22,0,0,20.3540704,3.427293001,10.63600375,0,5.932635526,2.79705671,1.229267302,4.364846118,1.229267302,1.229267302
23,0,0,20.30572015,4.163241893,3.775238824,0.67121427,0.67121427,5.327251101,6.879263378,11.53530021,2.223226547,2.223226547
24,0,0,20.3540704,2.696204082,2.811157791,2.811157791,5.946281733,0,2.811157791,1.24359582,5.946281733,0
25,0,0,20.3540704,4.128271467,11.94139452,0,0,4.216955443,11.94139452,1.127179812,2.672067627,1.127179812
